factor,source,active,original_family,proposed_family,mechanism,horizon,formula_units,definition,review_status,reason,representative_eligible,source_reference,semantic_resolved,replacement_hold_reason,expected_return_direction,correctness_status,statistical_substitution,semantic_audit_basis,dense_field,dense_lag,horizon_type,denominator_reference,direction_evidence,economic_theme,subtheme,measurement_family,measurement_orientation,representation_sign,disposition,role_reason,composite_group,u_item_review,u_review_status,dated_availability_semantics,exact_alias,c_output,r_role,c_role,h_role,lineage_partition_id,lineage_source,lineage_economic_family,lineage_authoritative_semantics,lineage_historical_semantics,lineage_continuation_semantics,lineage_historical_action,lineage_continuation_action,lineage_known_accepted_residual,lineage_research_usable,lineage_temporarily_blocked,lineage_block_reason,lineage_qualification_authority,lineage_canonical_schema_start,lineage_canonical_schema_end,quality_full_coverage,quality_infinite_fraction,quality_coverage_A,quality_coverage_B,quality_coverage_C,quality_coverage_D,quality_worst_era_coverage,legacy_proposal_role_0_995,legacy_reason_0_995,legacy_unknown_pair_count_0_995
alpha158_VSUMP60,alpha158,True,Liquidity,LiquidityTrading,alpha158_vsump,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Sum(Greater($volume-Ref($volume, 1), 0), 60)/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,,,rolling_or_recursive_parameters,"Qlib Alpha158 expression: Sum(Greater($volume-Ref($volume, 1), 0), 60)/(Sum(Abs($volume-Ref($volume, 1)), 60)+1e-12)",canonical_formula_measurement_axis_not_return_claim,trading_activity,positive_volume_variation,volume_change_positive_negative_partition,larger positive volume-change fraction,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,positive_volume_variation__window_60,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha158_VSUMP60,erc_76d829963fb2f9ee,raw,rank_constituent,raw_and_rank,alpha158_006,alpha158,Liquidity,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9967596350335286,0.0,0.9978385052762392,0.990383833802484,0.998275272767872,0.999978677891725,0.990383833802484,retain_semantic_or_horizon_variant,Distinct resolved mechanism/window/units; identity retained,13
alpha360_CLOSE10,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_10,ratio,"Qlib Alpha360 expression: Ref($close, 10)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,10,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,EXACT_ALIAS_OF,existing 168-month same-value same-mask equality; retained identity; counted once,close_relative_to_current_close__d6_21,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha158_ROC10,erc_3ce66b8c7c80ae6d,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9578067376340428,0.0,0.948369399492484,0.9068588442704304,0.9839459265819646,0.9975486453583146,0.9068588442704304,retain_semantic_or_horizon_variant,Distinct resolved mechanism/window/units; identity retained,13
alpha360_CLOSE11,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_11,ratio,"Qlib Alpha360 expression: Ref($close, 11)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,11,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d6_21,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE11,erc_3ce66b8c7c80ae6d,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9574786051281432,0.0,0.9479482372614998,0.9061511906136164,0.983823318887544,0.9975410794489268,0.9061511906136164,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha360_CLOSE12,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_12,ratio,"Qlib Alpha360 expression: Ref($close, 12)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,12,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d6_21,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE12,erc_3ce66b8c7c80ae6d,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.957176373857221,0.0,0.9475712683391182,0.9054886191395723,0.9837055059074306,0.9975328257295945,0.9054886191395723,retain_semantic_or_horizon_variant,Distinct resolved mechanism/window/units; identity retained,13
alpha360_CLOSE13,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_13,ratio,"Qlib Alpha360 expression: Ref($close, 13)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,13,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d6_21,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE13,erc_3ce66b8c7c80ae6d,raw,rank_constituent,raw_and_rank,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.956868269631856,0.0,0.9471735285616936,0.9048308291091556,0.9835897478048772,0.9975231963903736,0.9048308291091556,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha360_CLOSE14,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_14,ratio,"Qlib Alpha360 expression: Ref($close, 14)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,14,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d6_21,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE14,erc_3ce66b8c7c80ae6d,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.956566791303811,0.0,0.9467828597136452,0.9041901156631214,0.983475359620697,0.9975142548610968,0.9041901156631214,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha360_CLOSE15,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_15,ratio,"Qlib Alpha360 expression: Ref($close, 15)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,15,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d6_21,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE15,erc_3ce66b8c7c80ae6d,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9562800706561596,0.0,0.9464173810515002,0.903573992498598,0.983365766150824,0.9975039377119316,0.903573992498598,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha360_CLOSE16,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_16,ratio,"Qlib Alpha360 expression: Ref($close, 16)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,16,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d6_21,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE16,erc_3ce66b8c7c80ae6d,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9560153359405236,0.0,0.9460806280399472,0.903001585390094,0.9832657621095648,0.9974956839925992,0.903001585390094,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha360_CLOSE17,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_17,ratio,"Qlib Alpha360 expression: Ref($close, 17)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,17,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d6_21,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE17,erc_3ce66b8c7c80ae6d,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9557513541677648,0.0,0.9457350363666736,0.9024414734223456,0.9831698678234256,0.9974881180832113,0.9024414734223456,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha360_CLOSE18,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_18,ratio,"Qlib Alpha360 expression: Ref($close, 18)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,18,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d6_21,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE18,erc_3ce66b8c7c80ae6d,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9555004736010698,0.0,0.9454155187454756,0.9018957057854784,0.9830787682515936,0.9974805521738234,0.9018957057854784,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha360_CLOSE19,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_19,ratio,"Qlib Alpha360 expression: Ref($close, 19)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,19,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d6_21,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE19,erc_3ce66b8c7c80ae6d,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9552556165773928,0.0,0.945099536588966,0.9013704300498704,0.9829883536389484,0.9974736740743798,0.9013704300498704,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha360_CLOSE20,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_20,ratio,"Qlib Alpha360 expression: Ref($close, 20)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,20,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,EXACT_ALIAS_OF,existing 168-month same-value same-mask equality; retained identity; counted once,close_relative_to_current_close__d6_21,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha158_ROC20,erc_3ce66b8c7c80ae6d,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9550175360396108,0.0,0.9448003478897252,0.9008594986451438,0.982889034556876,0.9974661081649918,0.9008594986451438,retain_semantic_or_horizon_variant,Distinct resolved mechanism/window/units; identity retained,13
alpha360_CLOSE21,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_21,ratio,"Qlib Alpha360 expression: Ref($close, 21)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,21,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d6_21,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE21,erc_3ce66b8c7c80ae6d,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9547936108279208,0.0,0.944507788186775,0.90038886797956,0.9828040996177244,0.9974578544456596,0.90038886797956,retain_semantic_or_horizon_variant,Distinct resolved mechanism/window/units; identity retained,13
alpha360_CLOSE22,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_22,ratio,"Qlib Alpha360 expression: Ref($close, 22)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,22,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d22_63,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE22,erc_5c22c3b16e983dbe,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9545812809365404,0.0,0.9442426283351584,0.899929166327981,0.9827198496377594,0.9974482251064386,0.899929166327981,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha360_CLOSE23,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_23,ratio,"Qlib Alpha360 expression: Ref($close, 23)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,23,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d22_63,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE23,erc_5c22c3b16e983dbe,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9543638310335948,0.0,0.9439628846917032,0.899466732422901,0.9826342297394208,0.9974420348169394,0.899466732422901,retain_unmerged_with_unknown_pairs,Singleton is not evidence of independence,13
alpha360_CLOSE24,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_24,ratio,"Qlib Alpha360 expression: Ref($close, 24)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,24,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d22_63,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE24,erc_5c22c3b16e983dbe,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.95416354822825,0.0,0.9437171698958716,0.8990288887993317,0.9825472399227092,0.9974379079572732,0.8990288887993317,retain_semantic_or_horizon_variant,Distinct resolved mechanism/window/units; identity retained,13
alpha360_CLOSE25,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_25,ratio,"Qlib Alpha360 expression: Ref($close, 25)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,25,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d22_63,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE25,erc_5c22c3b16e983dbe,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9539601030628212,0.0,0.9434599648398037,0.8985971927461401,0.9824575102692508,0.9974337810976072,0.8985971927461401,retain_semantic_or_horizon_variant,Distinct resolved mechanism/window/units; identity retained,13
alpha360_CLOSE26,alpha360,True,PriceTrend,PriceTrend,historical_close_to_current_close_ratio,lag_26,ratio,"Qlib Alpha360 expression: Ref($close, 26)/$close Alpha360 batch V4 passed.",formula_reconciled,Historical/current ratio; lag identity retained; sign is not a return-based direction.,True,Qlib expression inventory; lag/operator identity retained,True,,not_asserted_no_outcome_direction_used,no_new_correctness_evidence_in_metadata_review,none_authorized_by_v0_5_1_0_995_proposals,existing_v0_5_1_formula_and_canonical_lineage; new_measurement_axis_review,close,26,point_lag,current canonical close,canonical_formula_measurement_axis_not_return_claim,price_path,close_relative_to_current_close,historical_close_current_close_ratio,higher historical close relative to current close,1.0,G_REPRESENTABLE,measured_axis_is_defined; preserve source horizon/input/mask; no expected-return assertion,close_relative_to_current_close__d22_63,not_U_measurement_axis_defined,not_applicable,canonical dated universe and historical/current OHLCV through signal close; exact source warmup/mask retained,alpha360_CLOSE26,erc_5c22c3b16e983dbe,dense_lag_thinned,rank_constituent,rank_constituent,alpha360_001,alpha360,PriceTrend,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,factor_universe_v2_lineage_accepted_semantics,lineage_resolved_parent_reference,frozen_parent_reference,none,True,False,,Factor Universe V2 2021+ physical qualification,2010-01-29,2026-06-09,0.9537787944179826,0.0,0.9432500466239406,0.8981900869744596,0.9823705204525388,0.9974296542379408,0.8981900869744596,retain_semantic_or_horizon_variant,Distinct resolved mechanism/window/units; identity retained,13
