field_or_dataset,provider,api,frequency,history_start,update_time,PIT_semantics,adjustment_semantics,coverage,reliability,recommended_use,history_end,announcement_timestamp_available,revision_semantics,permission_required,current_account_accessible,rate_limit,storage_estimate,probe_status,official_source,doc_id,pit_semantics,bootstrap_strategy
express,tushare,express,event,full_history,realtime,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,pit_event_candidate,current,True,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=46,46.0,ann_date,by_ts_code
dividend,tushare,dividend,event,full_history,realtime,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,dividend_and_corporate_action,current,True,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=103,103.0,ann_date_with_ex_date_separate,by_ts_code
disclosure_date,tushare,disclosure_date,event,full_history,periodic,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,cross_check_only,current,False,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=162,162.0,schedule_not_safe_as_historical_vintage_without_snapshot,by_period
stk_limit,tushare,stk_limit,daily,provider_dependent,08:40,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,limit_state_and_tradability,current,False,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=183,183.0,known_before_open_for_trade_date,by_trade_date
margin,tushare,margin,daily,provider_dependent,next_day_08:30,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,market_margin_regime,current,False,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=58,58.0,previous_trade_date_available_next_morning,by_trade_date
margin_detail,tushare,margin_detail,daily,provider_dependent,next_day_08:30,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,security_margin_behavior,current,False,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=59,59.0,previous_trade_date_available_next_morning,by_trade_date
block_trade,tushare,block_trade,daily,provider_dependent,after_close,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,block_trade_behavior,current,False,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=161,161.0,same_trade_date_after_close,by_trade_date
top_list,tushare,top_list,daily_event,provider_dependent,after_close,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,abnormal_trading_behavior,current,False,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=106,106.0,same_trade_date_after_close,by_trade_date
top_inst,tushare,top_inst,daily_event,provider_dependent,after_close,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,institutional_flow_event,current,False,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=107,107.0,same_trade_date_after_close,by_trade_date
index_classify,tushare,index_classify,versioned_reference,SW2014_and_SW2021,irregular,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,taxonomy_reference,current,False,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=181,181.0,classification_version_not_database_vintage,full_catalog
index_member_all,tushare,index_member_all,interval,provider_dependent,irregular,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,industry_membership_with_limitation,current,False,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=335,335.0,in_date_out_date_effective_intervals_not_vintage_proof,by_l1_and_current_history_flags
hk_hold,tushare,hk_hold,daily,provider_dependent,after_close,,dataset_specific_no_silent_adjustment,probe_only_not_full_history_coverage_proof,usable_with_receipts_and_incremental_cache,northbound_holding_candidate,current,False,preserve_all_source_revisions_order_by_availability,official_documentation_2000_points_minimum_for_core_set,True,2000_point_base_limits_bulk_bootstrap_requires_throttled_observation,see_resource_estimate.csv,accessible_nonempty,https://tushare.pro/document/2?doc_id=188,188.0,same_trade_date_after_close,by_trade_date
