factor_name,source,source_family,source_citations,definition,economic_rationale,required_fields,economic_family,economic_subfamily,secondary_family,pit_implications,evidence_tier,implementation_status,compute_adapter,candidate_decision,decision_reason
mature_net_flow_persistence_20,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.qref.2007.09.004,mean_20(net_flow_to_traded_amount),Order-size flow separates retail-like and institution-like trading pressure in A shares.,"buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,net_mf_amount,traded_amount_cny",TradingBehavior,NetFlowPersistence,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_moneyflow_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_institutional_flow_persistence_20,academic_and_industry_mature,MaturePublic,https://doi.org/10.1016/j.qref.2007.09.004,mean_20(institutional_order_imbalance),Order-size flow separates retail-like and institution-like trading pressure in A shares.,"buy_sm_amount,sell_sm_amount,buy_md_amount,sell_md_amount,buy_lg_amount,sell_lg_amount,buy_elg_amount,sell_elg_amount,net_mf_amount,traded_amount_cny",TradingBehavior,InstitutionalFlowPersistence,,row_t_after_close_usable_next_session,A,authoritative_v2,factor_universe_v2.mature_factors.compute_moneyflow_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_gross_profitability,academic_and_industry_mature,MaturePublic,https://www.nber.org/papers/w15940,(revenue-oper_cost)/total_assets,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",Profitability,GrossProfitability,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_operating_profitability,academic_and_industry_mature,MaturePublic,https://www.nber.org/papers/w15940;https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,operate_profit/total_assets,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",Profitability,OperatingProfitability,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_return_on_assets,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650;https://doi.org/10.1016/j.pacfin.2021.101607,n_income_attr_p/total_assets,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",Profitability,ReturnOnAssets,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_book_leverage,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,total_liab/total_assets,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",Leverage,DebtToAssets,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_current_ratio,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,total_cur_assets/total_cur_liab,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",Quality,ShortTermSolvency,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_cash_ratio,academic_and_industry_mature,MaturePublic,https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,money_cap/total_cur_liab,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",Quality,CashSolvency,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_operating_cashflow_to_assets,academic_and_industry_mature,MaturePublic,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2598;https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,n_cashflow_act/total_assets,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",CashFlow,CashflowOnAssets,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_cashflow_quality,academic_and_industry_mature,MaturePublic,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2598;https://www.msci.com/documents/1296102/1636401/MSCI_Barra_Market%2BEquity%2BModels_Factsheet%2B.pdf/0c9d381f-e4e6-42fc-b7c2-dfff694dd650,n_cashflow_act/abs(n_income_attr_p),Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",Quality,CashflowQuality,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
mature_accruals_to_assets,academic_and_industry_mature,MaturePublic,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2598,(n_income_attr_p-n_cashflow_act)/total_assets,Mature accounting characteristic computed only from the latest revision available at the decision date.,"information_available_date,revenue,oper_cost,operate_profit,n_income_attr_p,total_assets,total_liab,total_hldr_eqy_exc_min_int,money_cap,total_cur_assets,total_cur_liab,n_cashflow_act,prior_total_assets,prior_revenue,prior_n_income_attr_p,total_mv_cny",Quality,Accruals,,statement_revision_available_by_decision_date;market_cap_row_t_after_close,A,authoritative_v2,factor_universe_v2.mature_factors.compute_fundamental_factors,admit,mature_definition_new_economic_axis_data_and_pit_proven
