contract_id,group,path,status,row_count,min_rows,size_bytes
selected_probe_correlation_top_pairs,new_source_probe_diagnostics,outputs/new_source_probe_diagnostics_v1/current/selected_probe_correlation_top_pairs.csv,pass,200,100,15482
selected_probe_tradability_exposure,new_source_probe_diagnostics,outputs/new_source_probe_diagnostics_v1/current/selected_probe_tradability_exposure.csv,pass,120,120,20473
portfolio_smoke_weights,new_source_probe_diagnostics,outputs/new_source_probe_diagnostics_v1/current/portfolio_smoke_weights.csv,pass,50,50,2992
portfolio_smoke_summary,new_source_probe_diagnostics,outputs/new_source_probe_diagnostics_v1/current/portfolio_smoke_summary.csv,pass,1,1,845
new_source_probe_diagnostics_contract_status,new_source_probe_diagnostics,outputs/new_source_probe_diagnostics_v1/current/new_source_probe_diagnostics_contract_status.csv,pass,6,6,289
probe_review_board,new_source_probe_review,outputs/new_source_probe_review_v1/current/probe_review_board.csv,pass,328,328,289515
probe_review_redundancy_pairs,new_source_probe_review,outputs/new_source_probe_review_v1/current/redundancy_pairs.csv,pass,200,1,15422
probe_review_redundancy_groups,new_source_probe_review,outputs/new_source_probe_review_v1/current/redundancy_groups.csv,pass,4,1,1928
probe_review_tradability_exposure_watchlist,new_source_probe_review,outputs/new_source_probe_review_v1/current/tradability_exposure_watchlist.csv,pass,19,1,3453
probe_review_oos_extension_candidates,new_source_probe_review,outputs/new_source_probe_review_v1/current/oos_extension_candidates.csv,pass,3,3,4828
probe_review_contract_status,new_source_probe_review,outputs/new_source_probe_review_v1/current/probe_review_contract_status.csv,pass,6,6,291
alpha360_strict_oos_expression_summary,alpha360_strict_oos_extension,outputs/alpha360_strict_oos_extension_v1/current/strict_oos_expression_summary.csv,pass,3,3,441
alpha360_strict_oos_batch_manifest,alpha360_strict_oos_extension,outputs/alpha360_strict_oos_extension_v1/current/strict_oos_batch_manifest.csv,pass,1,1,451
alpha360_strict_oos_metric_summary,alpha360_strict_oos_extension,outputs/alpha360_strict_oos_extension_v1/current/strict_oos_metric_summary.csv,pass,3,3,1053
alpha360_strict_oos_evaluator_status,alpha360_strict_oos_extension,outputs/alpha360_strict_oos_extension_v1/current/strict_oos_evaluator_status.csv,pass,9,9,1679
alpha360_strict_oos_contract_status,alpha360_strict_oos_extension,outputs/alpha360_strict_oos_extension_v1/current/strict_oos_contract_status.csv,pass,8,8,433
alpha360_strict_oos_stability_metrics,alpha360_strict_oos_stability,outputs/alpha360_strict_oos_stability_v1/current/strict_oos_stability_metrics.csv,pass,54,54,8735
alpha360_strict_oos_stability_summary,alpha360_strict_oos_stability,outputs/alpha360_strict_oos_stability_v1/current/strict_oos_stability_summary.csv,pass,3,3,645
alpha360_strict_oos_stability_contract_status,alpha360_strict_oos_stability,outputs/alpha360_strict_oos_stability_v1/current/strict_oos_stability_contract_status.csv,pass,8,8,470
open_source_factor_expansion_candidates,source_expansion_audit,outputs/open_source_factor_expansion_audit_v1/current/open_source_factor_source_candidates.csv,pass,8,8,5113
open_source_factor_expansion_next_steps,source_expansion_audit,outputs/open_source_factor_expansion_audit_v1/current/open_source_factor_expansion_next_steps.csv,pass,3,3,467
alpha360_formula_inventory,alpha360_source_audit,outputs/factor_catalog_alpha360_v1/alpha360_formula_inventory.csv,pass,360,360,96173
alpha360_smoke_catalog,alpha360_source_audit,outputs/factor_catalog_alpha360_v1/alpha360_catalog_smoke.yaml,pass,24,24,14817
alpha360_smoke_expression_table,alpha360_adapter_smoke,outputs/alpha360_expression_frame_v1/smoke/expression_table.csv,pass,24,24,6485
alpha360_smoke_expression_summary,alpha360_adapter_smoke,outputs/alpha360_expression_frame_v1/smoke/expression_frame_summary.csv,pass,24,24,2948
alpha360_smoke_external_factor_summary,alpha360_v4_smoke,outputs/factor_evaluation_v4/alpha360_smoke_v1/external_factor_frame/external_factor_frame_summary.csv,pass,22,22,1127
alpha360_smoke_evaluator_status,alpha360_v4_smoke,outputs/factor_evaluation_v4/alpha360_smoke_v1/evaluator_status.csv,pass,66,66,9872
alpha360_smoke_metric_index,alpha360_v4_smoke,outputs/factor_evaluation_v4/alpha360_smoke_v1/open_source_metric_index.csv,pass,396,1,83230
alpha360_smoke_context_metric_index,alpha360_v4_smoke,outputs/factor_evaluation_v4/alpha360_smoke_v1/context/context_metric_index.csv,pass,4224,1,1369306
alpha360_batch_candidate_catalog,alpha360_batch_catalog,outputs/factor_catalog_alpha360_v1/alpha360_catalog_batch_candidate358.yaml,pass,358,358,232594
alpha360_adapter_holdout_catalog,alpha360_batch_catalog,outputs/factor_catalog_alpha360_v1/alpha360_catalog_adapter_holdout2.yaml,pass,2,2,1805
alpha360_batch_catalog_audit,alpha360_batch_catalog,outputs/factor_catalog_alpha360_v1/alpha360_batch_catalog_audit.csv,pass,4,4,425
alpha360_batch_dry_run_manifest,alpha360_batch_dry_run,outputs/factor_evaluation_batch_v1/alpha360_candidate358_batch1/batch_manifest.csv,pass,72,72,27210
alpha360_batch_dry_run_selected_catalog,alpha360_batch_dry_run,outputs/factor_evaluation_batch_v1/alpha360_candidate358_batch1/selected_factor_catalog.csv,pass,358,358,138212
alpha360_batch_expression_table,alpha360_batch_adapter,outputs/alpha360_expression_frame_v1/batch358/expression_table.csv,pass,358,358,95658
alpha360_batch_expression_summary,alpha360_batch_adapter,outputs/alpha360_expression_frame_v1/batch358/expression_frame_summary.csv,pass,358,358,44933
alpha360_batch_smoke_manifest,alpha360_batch_smoke,outputs/factor_evaluation_batch_v1/alpha360_candidate358_smoke_batch1/batch_manifest.csv,pass,1,1,505
alpha360_batch_smoke_output_summary,alpha360_batch_smoke,outputs/factor_evaluation_batch_v1/alpha360_candidate358_smoke_batch1/batch_output_summary.csv,pass,1,1,346
alpha360_execution_manifest,alpha360_v4_batch,outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/batch_manifest.csv,pass,72,72,28174
alpha360_execution_output_summary,alpha360_v4_batch,outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/batch_output_summary.csv,pass,72,72,16392
alpha360_candidate358_metric_index,alpha360_v4_batch,outputs/factor_evaluation_batch_v1/alpha360_candidate358_execution/alpha360_candidate358_metric_index.csv,pass,6444,1,1648440
alpha360_batch_promotion_audit,alpha360_promotion,outputs/factor_catalog_alpha360_v1/alpha360_batch_promotion_audit.csv,pass,358,358,30561
alpha360_batch_promoted_catalog,alpha360_promotion,outputs/factor_catalog_alpha360_v1/alpha360_catalog_promoted358.yaml,pass,358,358,225871
alpha360_holdout_catalog,alpha360_promotion,outputs/factor_catalog_alpha360_v1/alpha360_catalog_holdout2.yaml,pass,2,2,1902
alpha101_source_summary,alpha101_source_audit,outputs/factor_catalog_alpha101_v1/source_audit/alpha101_source_summary.csv,pass,2,2,574
kunquant_alpha101_inventory,alpha101_source_audit,outputs/factor_catalog_alpha101_v1/source_audit/kunquant_alpha101_inventory.csv,pass,82,80,19926
kunquant_alpha101_metadata_catalog,alpha101_source_audit,outputs/factor_catalog_alpha101_v1/kunquant_alpha101_catalog_metadata.yaml,pass,82,80,51857
alpha101_adapter_inventory,alpha101_adapter,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_inventory.csv,pass,82,80,19466
alpha101_smoke_external_factor_summary,alpha101_v4_smoke,outputs/factor_evaluation_v4/alpha101_smoke_v1/external_factor_frame/external_factor_frame_summary.csv,pass,5,5,341
alpha101_smoke_evaluator_status,alpha101_v4_smoke,outputs/factor_evaluation_v4/alpha101_smoke_v1/evaluator_status.csv,pass,15,15,2633
alpha101_smoke_metric_index,alpha101_v4_smoke,outputs/factor_evaluation_v4/alpha101_smoke_v1/open_source_metric_index.csv,pass,90,1,20988
alpha101_smoke_promotion_audit,alpha101_adapter,outputs/alpha101_factor_adapter_v1/smoke/alpha101_factor_smoke_promotion_audit.csv,pass,5,5,470
alpha101_smoke_passed_catalog,alpha101_adapter,outputs/alpha101_factor_adapter_v1/smoke/alpha101_factor_catalog_smoke_passed.yaml,pass,5,5,4082
alpha101_batch_candidate_catalog,alpha101_adapter,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_catalog_batch_candidate71.yaml,pass,71,70,42641
alpha101_adapter_holdout_catalog,alpha101_adapter,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_catalog_adapter_holdout6.yaml,pass,6,1,4322
alpha101_batch_promotion_audit,alpha101_adapter,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_batch_promotion_audit.csv,pass,71,70,6912
alpha101_batch_promoted_catalog,alpha101_adapter,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_catalog_promoted64.yaml,pass,64,60,38088
alpha101_holdout_catalog,alpha101_adapter,outputs/alpha101_factor_adapter_v1/batch82/alpha101_factor_catalog_holdout18.yaml,pass,18,1,11857
alpha101_candidate71_batch_metric_index,alpha101_v4_batch,outputs/factor_evaluation_batch_v1/alpha101_candidate71_batch1/alpha101_candidate71_metric_index.csv,pass,1170,1,320385
alpha101_candidate71_batch_manifest,alpha101_v4_batch,outputs/factor_evaluation_batch_v1/alpha101_candidate71_batch1/batch_manifest.csv,pass,15,15,6488
