factor,source,active,original_family,proposed_family,mechanism,horizon,formula_units,definition,review_status,reason,representative_eligible,source_reference,semantic_resolved,replacement_hold_reason
alpha158_CNTN10,alpha158,False,MomentumTrend,ReturnDynamics,alpha158_cntn,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 10)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CNTN20,alpha158,False,MomentumTrend,ReturnDynamics,alpha158_cntn,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 20)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CNTN30,alpha158,False,MomentumTrend,ReturnDynamics,alpha158_cntn,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 30)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CNTN5,alpha158,False,MomentumTrend,ReturnDynamics,alpha158_cntn,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 5)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CNTN60,alpha158,False,MomentumTrend,ReturnDynamics,alpha158_cntn,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close<Ref($close, 1), 60)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CNTP10,alpha158,False,MomentumTrend,ReturnDynamics,alpha158_cntp,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 10)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CNTP20,alpha158,False,MomentumTrend,ReturnDynamics,alpha158_cntp,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 20)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CNTP30,alpha158,True,MomentumTrend,ReturnDynamics,alpha158_cntp,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 30)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CNTP5,alpha158,False,MomentumTrend,ReturnDynamics,alpha158_cntp,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 5)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CNTP60,alpha158,False,MomentumTrend,ReturnDynamics,alpha158_cntp,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close>Ref($close, 1), 60)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CORD10,alpha158,True,Liquidity,LiquidityTrading,alpha158_cord,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CORD20,alpha158,True,Liquidity,LiquidityTrading,alpha158_cord,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 20)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CORD30,alpha158,True,Liquidity,LiquidityTrading,alpha158_cord,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 30)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CORD5,alpha158,True,Liquidity,LiquidityTrading,alpha158_cord,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 5)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CORD60,alpha158,True,Liquidity,LiquidityTrading,alpha158_cord,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 60)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CORR10,alpha158,True,Liquidity,LiquidityTrading,alpha158_corr,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 10)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CORR20,alpha158,True,Liquidity,LiquidityTrading,alpha158_corr,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 20)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CORR30,alpha158,True,Liquidity,LiquidityTrading,alpha158_corr,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 30)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CORR5,alpha158,True,Liquidity,LiquidityTrading,alpha158_corr,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 5)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_CORR60,alpha158,True,Liquidity,LiquidityTrading,alpha158_corr,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Corr($close, Log($volume+1), 60)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_HIGH0,alpha158,False,Liquidity,LiquidityTrading,alpha158_high,window_0,ratio_or_normalized_statistic,Qlib Alpha158 expression: $high/$close,formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMAX10,alpha158,False,VolatilityRisk,RiskLottery,alpha158_imax,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: IdxMax($high, 10)/10",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMAX20,alpha158,True,VolatilityRisk,RiskLottery,alpha158_imax,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: IdxMax($high, 20)/20",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMAX30,alpha158,True,VolatilityRisk,RiskLottery,alpha158_imax,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: IdxMax($high, 30)/30",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMAX5,alpha158,False,VolatilityRisk,RiskLottery,alpha158_imax,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: IdxMax($high, 5)/5",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMAX60,alpha158,True,VolatilityRisk,RiskLottery,alpha158_imax,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: IdxMax($high, 60)/60",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMIN10,alpha158,False,VolatilityRisk,RiskLottery,alpha158_imin,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: IdxMin($low, 10)/10",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMIN20,alpha158,True,VolatilityRisk,RiskLottery,alpha158_imin,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: IdxMin($low, 20)/20",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMIN30,alpha158,True,VolatilityRisk,RiskLottery,alpha158_imin,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: IdxMin($low, 30)/30",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMIN5,alpha158,False,VolatilityRisk,RiskLottery,alpha158_imin,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: IdxMin($low, 5)/5",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMIN60,alpha158,True,VolatilityRisk,RiskLottery,alpha158_imin,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: IdxMin($low, 60)/60",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMXD10,alpha158,False,VolatilityRisk,RiskLottery,alpha158_imxd,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: (IdxMax($high, 10)-IdxMin($low, 10))/10",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMXD20,alpha158,True,VolatilityRisk,RiskLottery,alpha158_imxd,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: (IdxMax($high, 20)-IdxMin($low, 20))/20",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMXD30,alpha158,True,VolatilityRisk,RiskLottery,alpha158_imxd,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: (IdxMax($high, 30)-IdxMin($low, 30))/30",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMXD5,alpha158,False,VolatilityRisk,RiskLottery,alpha158_imxd,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: (IdxMax($high, 5)-IdxMin($low, 5))/5",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_IMXD60,alpha158,True,VolatilityRisk,RiskLottery,alpha158_imxd,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: (IdxMax($high, 60)-IdxMin($low, 60))/60",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_KLEN,alpha158,True,TradingBehavior,TradingBehavior,intraday_klen,same_day,ratio_or_normalized_statistic,Qlib Alpha158 expression: ($high-$low)/$open,formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_KLOW,alpha158,True,TradingBehavior,TradingBehavior,intraday_klow,same_day,ratio_or_normalized_statistic,"Qlib Alpha158 expression: (Less($open, $close)-$low)/$open",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_KLOW2,alpha158,False,TradingBehavior,TradingBehavior,alpha158_klow,window_2,ratio_or_normalized_statistic,"Qlib Alpha158 expression: (Less($open, $close)-$low)/($high-$low+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_KMID,alpha158,False,TradingBehavior,TradingBehavior,intraday_kmid,same_day,ratio_or_normalized_statistic,Qlib Alpha158 expression: ($close-$open)/$open,formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_KMID2,alpha158,False,TradingBehavior,TradingBehavior,alpha158_kmid,window_2,ratio_or_normalized_statistic,Qlib Alpha158 expression: ($close-$open)/($high-$low+1e-12),formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_KSFT,alpha158,False,TradingBehavior,TradingBehavior,intraday_ksft,same_day,ratio_or_normalized_statistic,Qlib Alpha158 expression: (2*$close-$high-$low)/$open,formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_KSFT2,alpha158,False,TradingBehavior,TradingBehavior,alpha158_ksft,window_2,ratio_or_normalized_statistic,Qlib Alpha158 expression: (2*$close-$high-$low)/($high-$low+1e-12),formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_KUP,alpha158,True,TradingBehavior,TradingBehavior,intraday_kup,same_day,ratio_or_normalized_statistic,"Qlib Alpha158 expression: ($high-Greater($open, $close))/$open",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_KUP2,alpha158,False,TradingBehavior,TradingBehavior,alpha158_kup,window_2,ratio_or_normalized_statistic,"Qlib Alpha158 expression: ($high-Greater($open, $close))/($high-$low+1e-12)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_LOW0,alpha158,True,Liquidity,LiquidityTrading,alpha158_low,window_0,ratio_or_normalized_statistic,Qlib Alpha158 expression: $low/$close,formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MA10,alpha158,True,VolatilityRisk,RiskLottery,alpha158_ma,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close, 10)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MA20,alpha158,True,VolatilityRisk,RiskLottery,alpha158_ma,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close, 20)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MA30,alpha158,True,VolatilityRisk,RiskLottery,alpha158_ma,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close, 30)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MA5,alpha158,True,VolatilityRisk,RiskLottery,alpha158_ma,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close, 5)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MA60,alpha158,True,VolatilityRisk,RiskLottery,alpha158_ma,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Mean($close, 60)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MAX10,alpha158,False,VolatilityRisk,RiskLottery,alpha158_max,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Max($high, 10)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MAX20,alpha158,False,VolatilityRisk,RiskLottery,alpha158_max,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Max($high, 20)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MAX30,alpha158,False,VolatilityRisk,RiskLottery,alpha158_max,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Max($high, 30)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MAX5,alpha158,True,VolatilityRisk,RiskLottery,alpha158_max,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Max($high, 5)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MAX60,alpha158,False,VolatilityRisk,RiskLottery,alpha158_max,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Max($high, 60)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MIN10,alpha158,True,VolatilityRisk,RiskLottery,alpha158_min,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Min($low, 10)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MIN20,alpha158,True,VolatilityRisk,RiskLottery,alpha158_min,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Min($low, 20)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MIN30,alpha158,True,VolatilityRisk,RiskLottery,alpha158_min,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Min($low, 30)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MIN5,alpha158,True,VolatilityRisk,RiskLottery,alpha158_min,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Min($low, 5)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_MIN60,alpha158,True,VolatilityRisk,RiskLottery,alpha158_min,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Min($low, 60)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_OPEN0,alpha158,False,Liquidity,LiquidityTrading,alpha158_open,window_0,ratio_or_normalized_statistic,Qlib Alpha158 expression: $open/$close,formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_QTLD10,alpha158,True,VolatilityRisk,RiskLottery,alpha158_qtld,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Quantile($close, 10, 0.2)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_QTLD20,alpha158,True,VolatilityRisk,RiskLottery,alpha158_qtld,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Quantile($close, 20, 0.2)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_QTLD30,alpha158,True,VolatilityRisk,RiskLottery,alpha158_qtld,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Quantile($close, 30, 0.2)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_QTLD5,alpha158,True,VolatilityRisk,RiskLottery,alpha158_qtld,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Quantile($close, 5, 0.2)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_QTLD60,alpha158,True,VolatilityRisk,RiskLottery,alpha158_qtld,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Quantile($close, 60, 0.2)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_QTLU10,alpha158,False,VolatilityRisk,RiskLottery,alpha158_qtlu,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Quantile($close, 10, 0.8)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_QTLU20,alpha158,True,VolatilityRisk,RiskLottery,alpha158_qtlu,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Quantile($close, 20, 0.8)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_QTLU30,alpha158,True,VolatilityRisk,RiskLottery,alpha158_qtlu,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Quantile($close, 30, 0.8)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_QTLU5,alpha158,False,VolatilityRisk,RiskLottery,alpha158_qtlu,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Quantile($close, 5, 0.8)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_QTLU60,alpha158,True,VolatilityRisk,RiskLottery,alpha158_qtlu,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Quantile($close, 60, 0.8)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_RANK10,alpha158,True,VolatilityRisk,RiskLottery,alpha158_rank,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Rank($close, 10)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_RANK20,alpha158,True,VolatilityRisk,RiskLottery,alpha158_rank,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Rank($close, 20)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_RANK30,alpha158,True,VolatilityRisk,RiskLottery,alpha158_rank,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Rank($close, 30)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_RANK5,alpha158,False,VolatilityRisk,RiskLottery,alpha158_rank,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Rank($close, 5)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_RANK60,alpha158,True,VolatilityRisk,RiskLottery,alpha158_rank,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Rank($close, 60)",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_RESI10,alpha158,False,VolatilityRisk,RiskLottery,alpha158_resi,window_10,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Resi($close, 10)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_RESI20,alpha158,False,VolatilityRisk,RiskLottery,alpha158_resi,window_20,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Resi($close, 20)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_RESI30,alpha158,False,VolatilityRisk,RiskLottery,alpha158_resi,window_30,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Resi($close, 30)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_RESI5,alpha158,False,VolatilityRisk,RiskLottery,alpha158_resi,window_5,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Resi($close, 5)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
alpha158_RESI60,alpha158,True,VolatilityRisk,RiskLottery,alpha158_resi,window_60,ratio_or_normalized_statistic,"Qlib Alpha158 expression: Resi($close, 60)/$close",formula_reconciled,Existing definition retained; numeric clustering does not establish economic equivalence.,True,Qlib expression inventory; lag/operator identity retained,True,
