factor,root_cause_category,root_cause,authoritative_semantics,action,resolved,remaining_risk,old_value_difference_count,new_value_difference_count
mature_cashflow_to_sales,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
mature_current_ratio,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
mature_earnings_to_price_pit,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
mature_gross_margin,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
mature_gross_profitability,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
mature_net_income_growth_yoy,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,40,40
mature_net_margin,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
mature_operating_cashflow_to_assets,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
mature_operating_profitability,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
mature_return_on_assets,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
mature_revenue_growth_yoy,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,40,40
mature_sales_to_price_pit,explained_upstream_statement_window_residual,frozen parent statement endpoint began in 2018; extension recovered earlier public events and prior-year bases,latest public revision with information_available_date <= decision date,preserve extension and accept versioned source-window residual,True,practical PIT is not a provider-vintage archive,2,2
ta_momentum_kama,frozen_and_parent_extension_implementation_bug,"upstream TA KAMA uses np.roll lag initialization, so prefix state reads the supplied series end",causal lag and one continuous recursive state from the declared history anchor,correct extension with causal KAMA v1; preserve frozen parent,True,state before the 2000-01-04 anchor is unavailable,113,71857
ta_volatility_kcp,overlap_comparator_bug,same signed infinities were misclassified by the old overlap comparator,same signed infinity is lineage-equal but remains non-finite for qualification,fix comparator; retain existing factor qualification block,True,factor remains excluded from research-usable representation due non-finite values,2,0
